decision_date,apply_date,mode,crash_detected,avg_mkt_ret_%,SPY,QQQ,VGK,EWJ,SCZ,EEM,VNQ,REM,GLD,IEF,TLT,TIP,DBC,BWX,RWX,BIL,selected
2008-02-29,2008-03-31,Offensive_Triplet,False,0.11,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.0,0.0,0.0,"DBC, EEM, IEF"
2008-03-31,2008-04-30,Offensive_Triplet,False,-1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.3333,0.0,0.3333,0.0,0.0,0.0,"DBC, GLD, TLT"
2008-04-30,2008-05-31,Offensive_Triplet,False,3.09,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,"GLD, EEM, IEF"
2008-05-31,2008-06-30,Offensive_Triplet,False,1.07,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,"DBC, GLD, QQQ"
2008-06-30,2008-07-31,TLT+IEF_Crash,True,-5.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,"IEF, TLT"
2008-07-31,2008-08-31,TLT+IEF_Def,False,-2.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,"IEF, TLT"
2008-08-31,2008-09-30,Offensive_EW3,False,-2.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.0,0.3333,0.0,0.0,0.0,"DBC, TLT, IEF"
2008-09-30,2008-10-31,TLT+IEF_Crash,True,-7.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,"IEF, TLT"
2008-10-31,2008-11-30,TLT+IEF_Crash,True,-16.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,"IEF, TLT"
2008-11-30,2008-12-31,TLT+IEF_Crash,True,-4.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,"IEF, TLT"
2008-12-31,2009-01-31,Offensive_Triplet,False,5.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.3333,0.0,0.0,0.3333,0.0,0.0,"TLT, BWX, GLD"
2009-01-31,2009-02-28,TLT+IEF_Crash,True,-7.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,"IEF, TLT"
2009-02-28,2009-03-31,TLT+IEF_Crash,True,-7.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,"IEF, TLT"
2009-03-31,2009-04-30,TLT+IEF_Def,False,6.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,"IEF, TLT"
2009-04-30,2009-05-31,Offensive_EW3,False,6.98,0.0,0.3333,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"GLD, EEM, QQQ"
2009-05-31,2009-06-30,Offensive_Triplet,False,7.36,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,"GLD, QQQ, BWX"
2009-06-30,2009-07-31,Offensive_EW3,False,-0.82,0.0,0.3333,0.0,0.0,0.3333,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EEM, QQQ, SCZ"
