date,S3.6
2008-03-31,9885.305570527667
2008-04-30,9847.379723896005
2008-05-31,9902.165177554312
2008-06-30,10089.78590473288
2008-07-31,10072.672833561095
2008-08-31,10251.183576359701
2008-09-30,9900.422958035493
2008-10-31,9733.92696519228
2008-11-30,10768.014195634425
2008-12-31,11700.082294465908
2009-01-31,11143.133111253926
2009-02-28,10986.2301528987
2009-03-31,11359.742697097407
2009-04-30,10778.070056517587
2009-05-31,11841.54498913153
2009-06-30,11763.631087187494
2009-07-31,12848.62698313711
2009-08-31,13096.140028253601
2009-09-30,13671.726399381685
2009-10-31,13163.656711912136
2009-11-30,14135.66987479945
2009-12-31,14317.511571598465
2010-01-31,13784.707575776152
2010-02-28,14405.414395648948
2010-03-31,15482.161894670286
2010-04-30,15678.15164360173
2010-05-31,15144.61841595037
2010-06-30,15765.614946312395
2010-07-31,16036.48966607164
2010-08-31,16156.929080271631
2010-09-30,16965.65757387846
2010-10-31,17597.55224931224
2010-11-30,17598.397695170945
2010-12-31,18468.94062855436
2011-01-31,18293.695570368433
2011-02-28,19283.948528481997
2011-03-31,19269.866638495776
2011-04-30,20401.763540902462
2011-05-31,20281.82236397619
2011-06-30,19689.80925434762
2011-07-31,20203.229699714186
2011-08-31,21080.532099143522
2011-09-30,20878.918870241083
2011-10-31,20298.738379905542
2011-11-30,20254.89743551577
2011-12-31,19640.63728140681
2012-01-31,20262.258783374204
2012-02-29,20323.427706162303
2012-03-31,20185.95027524994
2012-04-30,20296.18494119942
2012-05-31,20104.89060009761
2012-06-30,19858.40030828099
2012-07-31,20567.05872495875
2012-08-31,20943.568627372504
2012-09-30,20806.639969020613
2012-10-31,20741.90729082348
2012-11-30,20652.053110406378
2012-12-31,20754.293645002774
2013-01-31,21186.16059756684
2013-02-28,21495.343177155635
2013-03-31,22339.650083170567
2013-04-30,23544.527617106844
2013-05-31,22116.79960571383
2013-06-30,22117.72092791345
2013-07-31,23107.817389200194
2013-08-31,22725.04418235397
2013-09-30,24307.052611334013
2013-10-31,25038.259699107814
2013-11-30,25526.09897588102
2013-12-31,25687.417574400624
2014-01-31,24564.525214899935
2014-02-28,26113.298753862742
2014-03-31,25921.953485897582
2014-04-30,26147.440980145875
2014-05-31,26329.99914347809
2014-06-30,26553.21426691263
2014-07-31,26045.592147576437
2014-08-31,26825.503755876176
2014-09-30,25159.074701554466
2014-10-31,25651.44917002742
2014-11-30,26369.444291995373
2014-12-31,26590.37300534356
2015-01-31,27581.6392552591
2015-02-28,27795.341054656838
2015-03-31,27827.311290785583
2015-04-30,27911.721256597546
2015-05-31,28287.325838498826
2015-06-30,27600.634334071226
2015-07-31,27601.32425507058
2015-08-31,25969.632650997886
2015-09-30,25970.065438537975
2015-10-31,25787.86323764867
2015-11-30,25816.306638140726
2015-12-31,25821.249555082813
2016-01-31,24386.38453560303
2016-02-29,24893.40297123473
2016-03-31,25147.514175563236
2016-04-30,25534.445021282434
2016-05-31,24932.667820557926
2016-06-30,25591.235237791898
2016-07-31,25369.147407178734
2016-08-31,24863.52249275823
2016-09-30,24951.884539844294
2016-10-31,24646.810624350004
2016-11-30,24696.179406812687
2016-12-31,25044.747422537883
2017-01-31,25535.044870351685
2017-02-28,26371.617203993206
2017-03-31,26292.84089403237
2017-04-30,27188.90561445167
2017-05-31,27666.135124696153
2017-06-30,27800.885723968957
2017-07-31,28470.523397476478
2017-08-31,28798.0503164512
2017-09-30,28912.208784421877
2017-10-31,29565.174952375062
2017-11-30,29848.087398842672
2017-12-31,30197.919294342933
2018-01-31,32207.155405320653
2018-02-28,31030.80105064645
2018-03-31,31257.531340871497
2018-04-30,31306.447727435312
2018-05-31,31627.196093526567
2018-06-30,31186.40794863002
2018-07-31,31606.732469119073
2018-08-31,32349.673428251543
2018-09-30,31913.106690379936
2018-10-31,29628.13499802815
2018-11-30,29685.057602154586
2018-12-31,29743.05822370186
2019-01-31,29895.85923838066
2019-02-28,29805.73041220171
2019-03-31,30965.394434929065
2019-04-30,31502.123421039516
2019-05-31,30733.362254134565
2019-06-30,31691.062815037694
2019-07-31,31947.860026283266
2019-08-31,33764.430351153234
2019-09-30,33820.53071185449
2019-10-31,34214.520853770446
2019-11-30,34165.79148889283
2019-12-31,34149.16607254378
2020-01-31,34101.030271339296
2020-02-29,34135.32976222269
2020-03-31,35809.763025507564
2020-04-30,36035.254089306865
2020-05-31,36855.88290855841
2020-06-30,37536.94445015281
2020-07-31,40162.796131263814
2020-08-31,40358.671379289946
2020-09-30,39269.83626995438
2020-10-31,38623.005112350205
2020-11-30,39595.133890572186
2020-12-31,41520.9233051704
2021-01-31,41008.28116581806
2021-02-28,42627.29812834104
2021-03-31,42631.54596820101
2021-04-30,45236.64909309112
2021-05-31,46610.92270212976
2021-06-30,47509.83047851638
2021-07-31,47755.29752174392
2021-08-31,48508.688358361025
2021-09-30,47379.34416281262
2021-10-31,49005.624310069456
2021-11-30,47551.01060464217
2021-12-31,48397.930980914214
2022-01-31,46921.45827049058
2022-02-28,46926.62864163658
2022-03-31,46943.80046973631
2022-04-30,45393.069008600076
2022-05-31,45429.97453950185
2022-06-30,45486.001826629516
2022-07-31,45569.678144004036
2022-08-31,45668.36764488177
2022-09-30,45785.81052986191
2022-10-31,45925.382533045275
2022-11-30,46081.26457567448
2022-12-31,46241.37369919751
2023-01-31,46412.78209860047
2023-02-28,43691.687824701614
2023-03-31,43858.885199129334
2023-04-30,44255.87099743091
2023-05-31,44448.474516082875
2023-06-30,45686.30790443892
2023-07-31,47342.428756043555
2023-08-31,46453.67132441137
2023-09-30,45148.07478476605
2023-10-31,45344.227961117926
2023-11-30,48296.342067959245
2023-12-31,50114.65704617003
2024-01-31,49338.26011323514
2024-02-29,50678.78959580143
