simulation,block_length,cagr,maxdd,terminal_wealth_multiple,final_capital,hit_cagr_target,hit_drawdown_limit,hit_both,severe_drawdown
1,6,0.09788119281312024,-0.15765263400321028,5.287337031318214,52873.37031318214,True,False,False,False
2,6,0.11402822833635873,-0.14296115598173353,6.859863710962063,68598.63710962063,True,True,True,False
3,6,0.08028235202273137,-0.13552535115466446,3.9635242242977626,39635.24224297763,True,True,True,False
4,6,0.08851969721697861,-0.12984664827061787,4.538516068012732,45385.160680127316,True,True,True,False
5,6,0.09362483496669927,-0.3007442866843476,4.933469996871265,49334.69996871265,True,False,False,True
6,6,0.1561809563868466,-0.08256879244271653,13.30332833782617,133033.2833782617,True,True,True,False
7,6,0.1353682715368396,-0.1334336682979601,9.622149572910264,96221.49572910264,True,True,True,False
8,6,0.12174018629703864,-0.15025298430169953,7.757926084507717,77579.26084507717,True,False,False,False
9,6,0.14601282585981257,-0.09917172701300259,11.364378606627833,113643.78606627832,True,True,True,False
10,6,0.15572727689523802,-0.07880391049765756,13.210542338487564,132105.42338487564,True,True,True,False
11,6,0.14715640210545522,-0.09690329926754893,11.568319959958208,115683.19959958208,True,True,True,False
12,6,0.132240900073902,-0.2479545455417853,9.160291494038399,91602.91494038398,True,False,False,True
13,6,0.14484713498621216,-0.1307815129345089,11.159989327536971,111599.89327536972,True,True,True,False
14,6,0.07438359223945334,-0.11684184621869154,3.594805378075083,35948.05378075083,True,True,True,False
15,6,0.11374568738093371,-0.10901777553346947,6.828903321426498,68289.03321426499,True,True,True,False
16,6,0.08779503400790167,-0.1395414835426575,4.48493460120316,44849.3460120316,True,True,True,False
17,6,0.09695208222706397,-0.1586257622666024,5.2081067890075765,52081.06789007576,True,False,False,False
18,6,0.09121602183227573,-0.12507547506063765,4.743236231248065,47432.36231248065,True,True,True,False
19,6,0.17310750995196122,-0.1285228566635983,17.239488194204807,172394.88194204806,True,True,True,False
20,6,0.08652555104335669,-0.15269952778646312,4.39250566774003,43925.0566774003,True,False,False,False
21,6,0.1393373930174726,-0.20040443652323814,10.240007201877326,102400.07201877325,True,False,False,True
22,6,0.14630545549046703,-0.12248366076817829,11.416239580243161,114162.39580243161,True,True,True,False
23,6,0.1384368649335317,-0.1460608133697674,10.096626401998492,100966.26401998493,True,True,True,False
24,6,0.12851990862003215,-0.14739197615754307,8.638026119694858,86380.26119694859,True,True,True,False
25,6,0.13302486693543436,-0.14017920440167375,9.274063000491237,92740.63000491237,True,True,True,False
26,6,0.0722715346034537,-0.17232255184826828,3.470844763618661,34708.44763618661,True,False,False,False
27,6,0.11695077154268874,-0.14086099233569693,7.187980861590341,71879.80861590341,True,True,True,False
28,6,0.09400032449290063,-0.17427007389597504,4.96376492818245,49637.6492818245,True,False,False,False
29,6,0.1611998026140926,-0.09086186729710322,14.371673244725374,143716.73244725374,True,True,True,False
30,6,0.11634535921861944,-0.17331761243742194,7.11881742685843,71188.1742685843,True,False,False,False
