,S3.6,60/40,SPY,regime,defensive
2008-07-31,-0.0016960787209325,-0.004124648547328924,-0.009450171821305808,BEAR,1
2008-08-31,0.017722281438927,0.013508258564839304,0.014665300007884463,SIDEWAYS,1
2008-09-30,-0.0342165971091474,-0.05852737330499511,-0.09441293029761433,CRISIS,0
2008-10-31,-0.0168170585791063,-0.10474250512066753,-0.1665522567358848,CRISIS,1
2008-11-30,0.1062353594946784,-0.015710078244361585,-0.0752599608771749,CRISIS,1
2008-12-31,0.0865589589591515,0.02108379539919181,0.0056780227120909466,CRISIS,1
2009-01-31,-0.0476021594715975,-0.06629582393566699,-0.08457876674416032,CRISIS,0
2009-02-28,-0.0140806859963614,-0.06761761431833481,-0.1059378401257709,CRISIS,1
2009-03-31,0.0339982449848962,0.056879273669258004,0.07452996077370466,CRISIS,1
2009-04-30,-0.0512047372981824,0.049161427330583145,0.10208962739174221,BEAR,1
2009-05-31,0.0986702560882735,0.02382659221953549,0.05551113649343242,SIDEWAYS,0
2009-06-30,-0.0065797074634726,-0.006593174249187461,-0.0053024564441077615,SIDEWAYS,0
2009-07-31,0.0922330773472956,0.04717969159673232,0.07495648389904264,BULL,0
2009-08-31,0.0192637738990582,0.024596837498401622,0.03785041999797589,BULL,0
2009-09-30,0.0439508412315623,0.020973366916553757,0.029351535836177556,BULL,0
2009-10-31,-0.0371620724865097,-0.013013498318848259,-0.018946570670708596,BULL,0
2009-11-30,0.0738406648061335,0.04126913386852338,0.06102742371572023,BULL,0
2009-12-31,0.0128640310936517,-0.01065204398976638,0.014197306152166078,BULL,0
2010-01-31,-0.0372134496387788,-0.012432324473058509,-0.03652189519023685,BULL,0
2010-02-28,0.0450286534161642,0.01892178834454201,0.03157306510198388,BULL,0
2010-03-31,0.074746027392767,0.02847823390064095,0.05624774286746104,BULL,0
2010-04-30,0.0126590685632161,0.015043077262488592,0.015984272160013635,BULL,0
2010-05-31,-0.0340303652994129,-0.0370579143841806,-0.07925290257445738,SIDEWAYS,0
2010-06-30,0.0410044355893435,-0.023058986752595677,-0.05683479532163738,CRISIS,1
2010-07-31,0.0171813608718514,0.04357267432187281,0.06830071691532646,SIDEWAYS,0
2010-08-31,0.0075103352858326,-0.013779981298182184,-0.0435295184547021,CRISIS,0
