Date,SPY,QQQ,VNQ,REM,IEF,TLT,TIP,VGK,EWJ,SCZ,EEM,RWX,BIL,BWX,DBC,GLD
2008-01-02,144.86,50.175148,61.28,117.5196,87.63,94.38,106.64,74.55,52.92,50.27,48.977841,56.41,91.66,27.065,32.44,84.86
2008-01-03,144.94,50.38417,59.08,116.56,87.81,94.25,107.0,74.59,53.12,50.23,49.418516,56.37,91.64,27.15,32.69,85.57
2008-01-04,141.33,48.174513,57.05,115.04,88.04,94.27,106.97,72.79,51.68,48.5,47.914258,55.15,91.62,27.21,32.46,85.13
2008-01-07,141.22,47.945584,57.48,116.28,88.2,94.68,106.95,73.0,51.44,47.68,48.285353,54.05,,27.15,31.88,84.77
2008-01-08,138.87,46.761128,55.46,114.56,88.3852,94.57,107.13,72.36,51.32,47.63,47.894378,53.14,,27.12,32.1,86.78
2008-01-09,140.35,47.716656,56.47,113.76,88.25,94.75,106.95,72.58,52.44,47.25,49.48147,53.44,91.54,27.02,31.97,86.52
2008-01-10,141.26,47.776376,57.26,114.72,88.01,93.47,106.47,72.56,52.0,46.58,50.064618,53.55,91.64,27.25,31.64,88.25
2008-01-11,140.13,46.830802,57.35,114.44,88.57,94.2,107.26,71.24,51.12,46.24,48.669701,51.99,91.62,27.245,32.05,88.58
2008-01-14,141.35,47.686796,57.21,115.76,88.61,94.55,107.71,72.38,51.76,46.72,49.372129,53.07,91.72,27.46,32.41,89.5
2008-01-15,138.18,46.362992,55.67,115.44,89.19,95.61,108.26,70.13,50.16,45.55,46.999775,51.36,91.66,27.43,32.01,87.99
2008-01-16,137.03,45.815554,56.59,117.36,89.02,94.92,107.59,68.7,49.32,43.97,45.127736,50.93,91.7,27.34,31.69,86.74
2008-01-17,133.49,45.158629,55.83,113.32,89.74,96.15,108.4,67.63,48.68,44.1,43.805712,50.94,91.64,27.345,31.43,86.51
2008-01-18,132.05,45.148676,55.19,111.16,89.61,95.49,108.47,67.52,50.0,44.03,44.862669,50.85,91.68,27.36,31.64,87.42
2008-01-22,130.63,44.004033,56.4,116.16,90.615,96.5099,109.32,65.7,48.04,45.38,43.640045,50.13,91.72,27.185,31.4,88.1
2008-01-23,133.93,43.795012,61.44,122.36,90.19,96.29,109.1,65.46,48.04,46.91,44.084033,51.02,91.84,27.36,30.73,87.76
2008-01-24,134.9,44.700772,60.59,122.5196,89.37,94.36,108.32,67.3,49.12,44.48,44.955443,52.73,91.8,27.36,31.42,90.08
2008-01-25,133.04,43.785058,59.94,120.56,90.2,95.95,109.2,65.9,50.0,44.56,44.216567,53.95,91.78,27.34,32.18,90.3
2008-01-28,135.21,44.123474,61.89,125.5376,89.87,95.59,109.07,67.29,49.44,44.36,45.064783,53.61,91.84,27.365,32.33,91.75
2008-01-29,135.97,44.232962,61.42,125.68,89.51,94.94,109.03,67.59,50.44,44.97,45.058156,53.53,91.88,27.385,32.5,91.15
